filename,status,bars,slow_ratio,center_ratio,fast_ratio,achievement,precision,balance,overall_score,rank,play_tendency,ranking_position,ranking_percentile,ranking_top_percent,ranking_title,error
10_高峯翠_グラフ_Dear World(ムービー).PNG,OK,3,0.045000,0.845000,0.110000,100.845,84.500,58.065,79.213,S+,Amazing Specialist,427,23.73540856031128,23.73540856031128,ブロンズランカー,
10_高峯翠_グラフ_Deep into you.PNG,OK,3,0.069767,0.843023,0.087209,100.843,84.302,88.889,85.220,SSS,Precision Master,76,4.224569205113952,4.224569205113952,プラチナランカー,
10_高峯翠_グラフ_Fight Is Only Fate.png,OK,3,0.085000,0.780000,0.135000,100.780,78.000,77.273,77.855,S,All Round Player,540,30.016675931072818,30.016675931072818,パープルランカー,
10_高峯翠_グラフ_FORBIDDEN RAIN.png,OK,3,0.080000,0.745000,0.175000,100.745,74.500,62.745,72.149,AAA,Fast Type,1055,58.64369093941079,58.64369093941079,レッドランカー,
10_高峯翠_グラフ_Graceful Punishment.PNG,OK,3,0.097701,0.770115,0.132184,100.770,77.011,85.000,78.609,S+,All Round Player,478,26.570316842690385,26.570316842690385,ブロンズランカー,
10_高峯翠_グラフ_It's k(not) lov.PNG,OK,3,0.104046,0.774566,0.121387,100.775,77.457,92.308,80.427,SS,Balanced Player,334,18.565869927737634,18.565869927737634,シルバーランカー,
10_高峯翠_グラフ_Joyful×box.PNG,OK,3,0.023256,0.784884,0.191860,100.785,78.488,21.622,67.115,A+,Fast Type,1408,78.26570316842691,78.26570316842691,グリーンランカー,
10_高峯翠_グラフ_LOUDEST BUGS.png,OK,3,0.090000,0.815000,0.095000,100.815,81.500,97.297,84.659,SSS,Precision Master,94,5.225125069483046,5.225125069483046,プラチナランカー,
10_高峯翠_グラフ_Rainbow Stairway.png,OK,3,0.150000,0.825000,0.025000,100.825,82.500,28.571,71.714,AA+,Amazing Specialist,1092,60.70038910505836,60.70038910505836,オレンジランカー,
10_高峯翠_グラフ_Stranger's Sun.PNG,OK,3,0.070352,0.758794,0.170854,100.759,75.879,58.333,72.370,AAA,Fast Type,1038,57.69872151195108,57.69872151195108,レッドランカー,
